Time,Demand_Percentage(%),Prediction_Horizon(min),CAV_Penetration(%),Eco_Routing_with_Travel_Time(0/1),Overall_Travel_Time_Avg(s),Overall_Fuel_Used_Avg(gallon),Overall_Electricity_Used_Avg(kWh),Overall_Fuel_Cost_Avg($),Overall_Electricity_Cost_Avg($),Total_Number_of_Vehicles,Travel_Time_ICE_Avg(s),Travel_Time_ICE_NONCAV_Avg(s),Travel_Time_BEV_Avg(s),Travel_Time_BEV_NONCAV_Avg(s),Travel_Time_PHEV_Avg(s),Travel_Time_PHEV_NONCAV_Avg(s),Travel_Time_HFCV_Avg(s),Travel_Time_HFCV_NONCAV_Avg(s),Fuel_Used_ICE_Avg(gallon),Fuel_Used_ICE_NONCAV_Avg(gallon),Fuel_Used_BEV_Avg(gallon),Fuel_Used_BEV_NONCAV_Avg(gallon),Fuel_Used_PHEV_Avg(gallon),Fuel_Used_PHEV_NONCAV_Avg(gallon),Fuel_Used_HFCV_Avg(gallon),Fuel_Used_HFCV_NONCAV_Avg(gallon),Electricity_Used_ICE_Avg(kWh),Electricity_Used_ICE_NONCAV_Avg(kWh),Electricity_Used_BEV_Avg(kWh),Electricity_Used_BEV_NONCAV_Avg(kWh),Electricity_Used_PHEV_Avg(kWh),Electricity_Used_PHEV_NONCAV_Avg(kWh),Electricity_Used_HFCV_Avg(kWh),Electricity_Used_HFCV_NONCAV_Avg(kWh),Vehicle_Count_ICE,Vehicle_Count_ICE_NONCAV,Vehicle_Count_BEV,Vehicle_Count_BEV_NONCAV,Vehicle_Count_PHEV,Vehicle_Count_PHEV_NONCAV,Vehicle_Count_HFCV,Vehicle_Count_HFCV_NONCAV
2.02307E+13,100,0,100,0,378.453,0.128566,0.0761134,0.44998,63.5547,3340,378.627,0,402.956,0,359.824,0,320.029,0,0.137455,0,0,0,0,0,0,0,0,0,1.19368,0,1.16454,0,1.14698,0,3124,0,113,0,68,0,35,0
20230724073112,100,0,100,0,378.453,0.128566,0.0761134,0.44998,63.5547,3340,378.627,0,402.956,0,359.824,0,320.029,0,0.137455,0,0,0,0,0,0,0,0,0,1.19368,0,1.16454,0,1.14698,0,3124,0,113,0,68,0,35,0
20230724073925,100,0,0,0,714.789,0.173085,0.0631821,0.605796,476.867,30190,0,714.468,0,705.73,0,740.582,0,717.619,0,0.184598,0,0,0,2.79645e-06,0,0,0,0,0,0.955163,0,1.13052,0,0.946686,0,28307,0,915,0,637,0,331
20230724074255,100,0,10,0,738.559,0.174646,0.0640213,0.611261,484.529,30273,825.191,726.903,891.427,768.456,755.657,733.222,576.382,781.619,0.197738,0.185143,0,0,0,1.7193e-06,0,0,0,0,0.91495,0.95898,0.988578,1.12112,1.06593,0.998082,2890,25470,103,856,67,562,34,291
20230724074536,100,0,20,0,732.554,0.173619,0.0621189,0.607667,472.802,30445,762.779,721.673,875.3,747.673,812.924,752.297,607.283,785.837,0.188877,0.184059,0,0,2.96504e-06,2.56717e-06,0,0,0,0,0.842621,0.95329,1.02538,1.12533,1.20223,1.00054,5890,22674,217,713,132,495,60,264
20230724074824,100,0,30,0,778.54,0.179545,0.0590886,0.628407,447.832,30316,816.14,757.787,978.011,822.994,880.408,742.76,799.607,735.479,0.195944,0.189005,0,0,3.33948e-06,2.40276e-06,0,0,0,0,0.867535,0.928437,1.08179,1.03219,0.998223,1.06605,8651,19830,277,682,206,391,89,190
20230724075326,100,2,10,0,734.828,0.174769,0.0629812,0.611691,477.681,30338,770.446,730.089,682.96,760.359,668.19,734.437,586.706,774.646,0.192911,0.185777,0,0,0,1.85507e-06,0,0,0,0,0.936943,0.957195,0.833595,1.12261,0.954341,0.961263,2873,25557,101,853,63,563,34,294
20230724075608,100,5,10,0,733.105,0.174703,0.0640659,0.61146,487.574,30442,774.809,727.851,743.204,751.3,649.048,728.694,614.758,764.863,0.192581,0.185738,0,0,0,1.5896e-06,0,0,0,0,0.894911,0.978149,0.906342,1.12223,1.106,0.994878,2887,25640,103,860,63,563,33,293
20230724075851,100,2,20,0,728.918,0.173994,0.061671,0.608981,473.032,30681,761.51,719.353,749.215,743.92,699.719,749.542,643.444,767.741,0.1901,0.184217,0,0,3.09728e-06,2.4179e-06,0,0,0,0,0.788417,0.958448,0.982142,1.14185,1.0832,1.01057,5900,22890,214,722,128,498,63,266
20230724080143,100,5,20,0,726.706,0.174168,0.0615724,0.609588,472.045,30666,754.877,718.03,752.302,728.755,726.305,755.453,577.403,803.038,0.190366,0.184388,0,0,7.32476e-07,2.39981e-06,0,0,0,0,0.807238,0.969812,0.889828,1.13601,1.16559,0.986295,5898,22877,215,721,128,499,62,266
